,theater_name,theater_address
159,CGV 광주첨단,광주광역시 광산구 쌍암동 임방울대로826번길 2층
160,CGV 광주충장로,"11층, NC웨이브, 163 중앙로 충장로4가 동구 광주광역시"
161,CGV 광주터미널,광주광역시 서구 광천동 무진대로 904
162,CGV 광주하남,광주광역시 광산구 하남동 용아로400번길 30
163,CGV 군산,전라북도 군산시 나운2동 백토로 166
164,CGV 나주,전라남도 나주시 빛가람동 203-3
165,CGV 목포,
166,CGV 목포평화광장,전라남도 목포시 상동 1129-6
167,CGV 서전주,전라북도 전주시 완산구 효자동3가 홍산로 260
168,CGV 순천,전라남도 순천시 장천동 장명로 22
169,CGV 순천신대,전라남도 순천시 해룡면 해광로 199
170,CGV 여수웅천,전라남도 여수시 웅천동 웅천로 19-16
171,CGV 익산,전라북도 익산시 영등1동 무왕로 1052
172,CGV 전주고사,전라북도 전주시 완산구 중앙동 전주객사3길 72
173,CGV 전주효자,전라북도 전주시 완산구 효자동1가 434
174,CGV 정읍,전라북도 정읍시 수성동 중앙1길 1
175,CGV 제주,
176,CGV 제주노형,제주특별자치도 제주시 노형동 노형로 407
